return_id,order_item_id,return_reason,return_date
59,25272,Wrong Product,2025-01-01
60,77768,Defective,2025-01-01
61,95727,Wrong Product,2025-01-01
62,98404,Defective,2025-01-01
63,86074,Damaged,2025-01-01
64,56761,Late Delivery,2025-01-01
65,47261,Late Delivery,2025-01-01
66,14005,Wrong Product,2025-01-01
67,86772,Damaged,2025-01-01
68,91813,Defective,2025-01-01
69,83035,No Longer Needed,2025-01-01
70,40035,Damaged,2025-01-01
71,86813,Damaged,2025-01-01
72,14741,No Longer Needed,2025-01-01
73,40660,Defective,2025-01-01
74,42275,No Longer Needed,2025-01-01
75,98081,Late Delivery,2025-01-01
76,31975,Late Delivery,2025-01-01
77,57068,No Longer Needed,2025-01-01
78,92477,Late Delivery,2025-01-01
79,31241,Late Delivery,2025-01-01
80,99101,Damaged,2025-01-01
81,49623,Wrong Product,2025-01-01
82,71026,Wrong Product,2025-01-01
83,54418,Defective,2025-01-01
84,6153,Damaged,2025-01-01
85,16383,Damaged,2025-01-01
86,14274,No Longer Needed,2025-01-01
87,96674,Defective,2025-01-01
88,867,Defective,2025-01-01
89,27873,Defective,2025-01-01
90,65291,Damaged,2025-01-01
91,579,No Longer Needed,2025-01-01
92,2213,Late Delivery,2025-01-01
93,38943,No Longer Needed,2025-01-01
94,91115,No Longer Needed,2025-01-01
95,64540,No Longer Needed,2025-01-01
96,59058,No Longer Needed,2025-01-01
97,35205,No Longer Needed,2025-01-01
98,21739,Damaged,2025-01-01
99,2531,Late Delivery,2025-01-01
100,20585,Damaged,2025-01-01
101,92133,Defective,2025-01-01
102,90406,Defective,2025-01-01
103,84271,Late Delivery,2025-01-01
104,49492,Wrong Product,2025-01-01
105,92596,Late Delivery,2025-01-01
106,3232,Damaged,2025-01-01
107,52884,No Longer Needed,2025-01-01
108,63313,Damaged,2025-01-01
109,27245,Late Delivery,2025-01-01
110,80588,No Longer Needed,2025-01-01
111,51127,Defective,2025-01-01
112,54055,Defective,2025-01-01
113,65852,Defective,2025-01-01
114,81972,Damaged,2025-01-01
115,49304,Late Delivery,2025-01-01
116,88134,Defective,2025-01-01
117,28614,No Longer Needed,2025-01-01
118,18190,Defective,2025-01-01
119,80725,Wrong Product,2025-01-01
120,96496,Late Delivery,2025-01-01
121,55956,Defective,2025-01-01
122,39658,No Longer Needed,2025-01-01
123,18845,Defective,2025-01-01
124,59359,Late Delivery,2025-01-01
125,45585,Late Delivery,2025-01-01
126,2784,No Longer Needed,2025-01-01
127,9992,Late Delivery,2025-01-01
128,51190,Defective,2025-01-01
129,32061,Damaged,2025-01-01
130,52150,Late Delivery,2025-01-01
131,43171,Damaged,2025-01-01
132,60652,Late Delivery,2025-01-01
133,91841,Damaged,2025-01-01
134,32132,Defective,2025-01-01
135,93277,Late Delivery,2025-01-01
136,40609,Late Delivery,2025-01-01
137,82772,Defective,2025-01-01
138,20062,Damaged,2025-01-01
139,2938,No Longer Needed,2025-01-01
140,57552,No Longer Needed,2025-01-01
141,76125,Defective,2025-01-01
142,7891,Wrong Product,2025-01-01
143,68979,Defective,2025-01-01
144,34607,Late Delivery,2025-01-01
145,74674,Wrong Product,2025-01-01
146,86033,No Longer Needed,2025-01-01
147,47226,Defective,2025-01-01
148,64574,Damaged,2025-01-01
149,86332,Late Delivery,2025-01-01
150,150,No Longer Needed,2025-01-01
151,96656,Damaged,2025-01-01
152,89534,Damaged,2025-01-01
153,81095,Damaged,2025-01-01
154,23421,Wrong Product,2025-01-01
155,79825,No Longer Needed,2025-01-01
156,21847,Wrong Product,2025-01-01
157,35978,Late Delivery,2025-01-01
158,52730,Late Delivery,2025-01-01
159,77550,Wrong Product,2025-01-01
160,34626,No Longer Needed,2025-01-01
161,73420,Wrong Product,2025-01-01
162,38005,Damaged,2025-01-01
163,18622,No Longer Needed,2025-01-01
164,52175,Defective,2025-01-01
165,82542,No Longer Needed,2025-01-01
166,61534,Late Delivery,2025-01-01
167,39598,No Longer Needed,2025-01-01
168,80272,Wrong Product,2025-01-01
169,77826,Late Delivery,2025-01-01
170,95579,Damaged,2025-01-01
171,47318,Late Delivery,2025-01-01
172,55300,Damaged,2025-01-01
173,32181,Damaged,2025-01-01
174,55165,Damaged,2025-01-01
175,7697,Defective,2025-01-01
176,20113,Defective,2025-01-01
177,68287,Damaged,2025-01-01
178,31797,Damaged,2025-01-01
179,4646,No Longer Needed,2025-01-01
180,50825,Defective,2025-01-01
181,70520,Defective,2025-01-01
182,97188,Defective,2025-01-01
183,36264,Defective,2025-01-01
184,78384,Late Delivery,2025-01-01
185,51968,Damaged,2025-01-01
186,66763,Defective,2025-01-01
187,71700,Wrong Product,2025-01-01
188,99827,Damaged,2025-01-01
189,3254,Wrong Product,2025-01-01
190,96162,Damaged,2025-01-01
191,1058,Defective,2025-01-01
192,41415,Damaged,2025-01-01
193,44601,Wrong Product,2025-01-01
194,54165,Damaged,2025-01-01
195,19474,Damaged,2025-01-01
196,89920,Wrong Product,2025-01-01
197,48043,No Longer Needed,2025-01-01
198,56381,No Longer Needed,2025-01-01
199,43013,No Longer Needed,2025-01-01
200,9725,Wrong Product,2025-01-01
201,54235,No Longer Needed,2025-01-01
202,28967,Wrong Product,2025-01-01
203,34105,Defective,2025-01-01
204,93153,Defective,2025-01-01
205,51382,Late Delivery,2025-01-01
206,36041,Late Delivery,2025-01-01
207,52697,Damaged,2025-01-01
208,31606,No Longer Needed,2025-01-01
209,29336,Damaged,2025-01-01
210,1046,Late Delivery,2025-01-01
211,42264,Damaged,2025-01-01
212,71163,Defective,2025-01-01
213,89440,Damaged,2025-01-01
214,72002,Damaged,2025-01-01
215,8620,Defective,2025-01-01
216,32830,Wrong Product,2025-01-01
217,73032,No Longer Needed,2025-01-01
218,54636,No Longer Needed,2025-01-01
219,29965,Damaged,2025-01-01
220,50178,Damaged,2025-01-01
221,99868,Wrong Product,2025-01-01
222,23636,Defective,2025-01-01
223,75818,Defective,2025-01-01
224,93259,Late Delivery,2025-01-01
225,19795,Defective,2025-01-01
226,80683,Late Delivery,2025-01-01
227,80181,Late Delivery,2025-01-01
228,72088,Late Delivery,2025-01-01
229,88246,No Longer Needed,2025-01-01
230,929,Damaged,2025-01-01
231,61326,Damaged,2025-01-01
232,14248,Damaged,2025-01-01
233,9995,Damaged,2025-01-01
234,97190,No Longer Needed,2025-01-01
235,25783,Damaged,2025-01-01
236,94392,No Longer Needed,2025-01-01
237,30020,Damaged,2025-01-01
238,96492,Defective,2025-01-01
239,87901,Late Delivery,2025-01-01
240,95643,Late Delivery,2025-01-01
241,33365,Late Delivery,2025-01-01
242,38778,Damaged,2025-01-01
243,42415,No Longer Needed,2025-01-01
244,43985,No Longer Needed,2025-01-01
245,21759,Damaged,2025-01-01
246,52051,Wrong Product,2025-01-01
247,18334,Wrong Product,2025-01-01
248,60762,Damaged,2025-01-01
249,88717,Late Delivery,2025-01-01
250,5039,No Longer Needed,2025-01-01
251,23786,Late Delivery,2025-01-01
252,39941,Wrong Product,2025-01-01
253,35480,Wrong Product,2025-01-01
254,30948,No Longer Needed,2025-01-01
255,94097,Wrong Product,2025-01-01
256,18551,Wrong Product,2025-01-01
257,60525,Late Delivery,2025-01-01
258,24234,Wrong Product,2025-01-01
259,95248,No Longer Needed,2025-01-01
260,26689,Defective,2025-01-01
261,38728,Late Delivery,2025-01-01
262,57540,Defective,2025-01-01
263,24315,Late Delivery,2025-01-01
264,35262,Wrong Product,2025-01-01
265,43689,No Longer Needed,2025-01-01
266,97399,Wrong Product,2025-01-01
267,64832,Late Delivery,2025-01-01
268,2183,Late Delivery,2025-01-01
269,10021,No Longer Needed,2025-01-01
270,857,Defective,2025-01-01
271,90663,Defective,2025-01-01
272,81474,No Longer Needed,2025-01-01
273,27791,Late Delivery,2025-01-01
274,47041,Wrong Product,2025-01-01
275,66681,Damaged,2025-01-01
276,97185,Late Delivery,2025-01-01
277,227,Defective,2025-01-01
278,35148,No Longer Needed,2025-01-01
279,5289,No Longer Needed,2025-01-01
280,74542,Wrong Product,2025-01-01
281,60675,Damaged,2025-01-01
282,95533,Damaged,2025-01-01
283,19403,Late Delivery,2025-01-01
284,13392,No Longer Needed,2025-01-01
285,35113,Wrong Product,2025-01-01
286,49357,Wrong Product,2025-01-01
287,9411,No Longer Needed,2025-01-01
288,27643,Late Delivery,2025-01-01
289,43667,Wrong Product,2025-01-01
290,57670,Defective,2025-01-01
291,63165,Wrong Product,2025-01-01
292,68168,Wrong Product,2025-01-01
293,60829,Defective,2025-01-01
294,88,Damaged,2025-01-01
295,9660,Late Delivery,2025-01-01
296,8094,Wrong Product,2025-01-01
297,8664,Wrong Product,2025-01-01
298,87662,Damaged,2025-01-01
299,63323,Late Delivery,2025-01-01
300,43923,Defective,2025-01-01
301,91914,Late Delivery,2025-01-01
302,37876,Late Delivery,2025-01-01
303,26555,Late Delivery,2025-01-01
304,48768,Late Delivery,2025-01-01
305,9621,Late Delivery,2025-01-01
306,86142,Late Delivery,2025-01-01
307,95804,Late Delivery,2025-01-01
308,18888,Wrong Product,2025-01-01
309,70787,Wrong Product,2025-01-01
310,71788,No Longer Needed,2025-01-01
311,28145,No Longer Needed,2025-01-01
312,81825,Defective,2025-01-01
313,9315,No Longer Needed,2025-01-01
314,41000,No Longer Needed,2025-01-01
315,99443,Defective,2025-01-01
316,6607,Damaged,2025-01-01
317,99210,Defective,2025-01-01
318,67207,Late Delivery,2025-01-01
319,11052,No Longer Needed,2025-01-01
320,67829,Defective,2025-01-01
321,2281,Late Delivery,2025-01-01
322,44493,Wrong Product,2025-01-01
323,76338,Late Delivery,2025-01-01
324,87357,Defective,2025-01-01
325,1939,Wrong Product,2025-01-01
326,38733,Wrong Product,2025-01-01
327,60306,Late Delivery,2025-01-01
328,21679,No Longer Needed,2025-01-01
329,25341,No Longer Needed,2025-01-01
330,5310,Defective,2025-01-01
331,78899,Wrong Product,2025-01-01
332,86077,Wrong Product,2025-01-01
333,14779,Damaged,2025-01-01
334,58077,Damaged,2025-01-01
335,99088,Damaged,2025-01-01
336,82816,Wrong Product,2025-01-01
337,14448,Damaged,2025-01-01
338,96935,Wrong Product,2025-01-01
339,586,Late Delivery,2025-01-01
340,98850,Defective,2025-01-01
341,41910,Defective,2025-01-01
342,53662,Wrong Product,2025-01-01
343,54025,No Longer Needed,2025-01-01
344,53391,Damaged,2025-01-01
345,27804,No Longer Needed,2025-01-01
346,62868,Defective,2025-01-01
347,89145,No Longer Needed,2025-01-01
348,38473,Wrong Product,2025-01-01
349,49966,No Longer Needed,2025-01-01
350,44034,No Longer Needed,2025-01-01
351,48266,Damaged,2025-01-01
352,31010,Late Delivery,2025-01-01
353,84320,Defective,2025-01-01
354,84648,Damaged,2025-01-01
355,69297,Defective,2025-01-01
356,85131,Damaged,2025-01-01
357,49336,No Longer Needed,2025-01-01
358,79168,Wrong Product,2025-01-01
359,45452,Defective,2025-01-01
360,13006,Defective,2025-01-01
361,97194,Wrong Product,2025-01-01
362,18756,Wrong Product,2025-01-01
363,46121,Late Delivery,2025-01-01
364,17571,Wrong Product,2025-01-01
365,36775,No Longer Needed,2025-01-01
366,44367,Damaged,2025-01-01
367,2545,Wrong Product,2025-01-01
368,45258,Damaged,2025-01-01
369,86526,No Longer Needed,2025-01-01
370,70301,Late Delivery,2025-01-01
371,88977,No Longer Needed,2025-01-01
372,33496,No Longer Needed,2025-01-01
373,20347,Damaged,2025-01-01
374,35521,Wrong Product,2025-01-01
375,32902,Wrong Product,2025-01-01
376,91295,No Longer Needed,2025-01-01
377,8290,Defective,2025-01-01
378,27816,No Longer Needed,2025-01-01
379,65982,No Longer Needed,2025-01-01
380,5271,No Longer Needed,2025-01-01
381,77552,Defective,2025-01-01
382,53660,No Longer Needed,2025-01-01
383,13769,Late Delivery,2025-01-01
384,89975,Defective,2025-01-01
385,94773,Damaged,2025-01-01
386,15876,Defective,2025-01-01
387,92938,Wrong Product,2025-01-01
388,34376,No Longer Needed,2025-01-01
389,72022,Late Delivery,2025-01-01
390,60247,Late Delivery,2025-01-01
391,14412,Late Delivery,2025-01-01
392,30674,Late Delivery,2025-01-01
393,99623,Late Delivery,2025-01-01
394,57736,No Longer Needed,2025-01-01
395,43410,No Longer Needed,2025-01-01
396,96921,Defective,2025-01-01
397,20295,Late Delivery,2025-01-01
398,96840,Defective,2025-01-01
399,1719,Wrong Product,2025-01-01
400,78473,Damaged,2025-01-01
401,63934,Defective,2025-01-01
402,20309,No Longer Needed,2025-01-01
403,27666,No Longer Needed,2025-01-01
404,42956,No Longer Needed,2025-01-01
405,74037,Defective,2025-01-01
406,88603,Wrong Product,2025-01-01
407,47896,Defective,2025-01-01
408,78064,No Longer Needed,2025-01-01
409,11608,No Longer Needed,2025-01-01
410,72907,No Longer Needed,2025-01-01
411,81526,Defective,2025-01-01
412,37504,No Longer Needed,2025-01-01
413,93339,Late Delivery,2025-01-01
414,34738,Late Delivery,2025-01-01
415,94335,Defective,2025-01-01
416,97752,Late Delivery,2025-01-01
417,34567,Damaged,2025-01-01
418,53143,Defective,2025-01-01
419,81565,Wrong Product,2025-01-01
420,1957,Late Delivery,2025-01-01
421,18143,Damaged,2025-01-01
422,33681,Late Delivery,2025-01-01
423,55802,No Longer Needed,2025-01-01
424,34012,Wrong Product,2025-01-01
425,17820,Damaged,2025-01-01
426,34635,Defective,2025-01-01
427,73002,Late Delivery,2025-01-01
428,32573,Defective,2025-01-01
429,72689,Late Delivery,2025-01-01
430,86036,Damaged,2025-01-01
431,69497,Late Delivery,2025-01-01
432,23138,Damaged,2025-01-01
433,76473,Damaged,2025-01-01
434,37733,Defective,2025-01-01
435,42456,Late Delivery,2025-01-01
436,48219,Wrong Product,2025-01-01
437,38340,Late Delivery,2025-01-01
438,23746,Damaged,2025-01-01
439,44533,No Longer Needed,2025-01-01
440,41516,Damaged,2025-01-01
441,60363,Late Delivery,2025-01-01
442,45555,Late Delivery,2025-01-01
443,2363,Wrong Product,2025-01-01
444,57225,No Longer Needed,2025-01-01
445,92615,Damaged,2025-01-01
446,75508,Late Delivery,2025-01-01
447,30018,Late Delivery,2025-01-01
448,61606,Damaged,2025-01-01
449,62296,Damaged,2025-01-01
450,57984,No Longer Needed,2025-01-01
451,86791,Defective,2025-01-01
452,51410,Late Delivery,2025-01-01
453,40083,Wrong Product,2025-01-01
454,13362,Damaged,2025-01-01
455,67816,Damaged,2025-01-01
456,60014,Wrong Product,2025-01-01
457,61571,Defective,2025-01-01
458,82561,Damaged,2025-01-01
459,17714,Wrong Product,2025-01-01
460,46075,Damaged,2025-01-01
461,57780,Defective,2025-01-01
462,66842,Late Delivery,2025-01-01
463,32529,Damaged,2025-01-01
464,11807,Wrong Product,2025-01-01
465,44164,Late Delivery,2025-01-01
466,63563,Late Delivery,2025-01-01
467,39506,Defective,2025-01-01
468,70752,Late Delivery,2025-01-01
469,30235,Damaged,2025-01-01
470,87801,Defective,2025-01-01
471,54370,Defective,2025-01-01
472,71444,Late Delivery,2025-01-01
473,43958,No Longer Needed,2025-01-01
474,17955,Wrong Product,2025-01-01
475,69757,Defective,2025-01-01
476,7758,Wrong Product,2025-01-01
477,85539,Defective,2025-01-01
478,1550,Late Delivery,2025-01-01
479,90665,Damaged,2025-01-01
480,884,Late Delivery,2025-01-01
481,89552,Damaged,2025-01-01
482,78736,No Longer Needed,2025-01-01
483,75459,Damaged,2025-01-01
484,23945,Defective,2025-01-01
485,55275,Defective,2025-01-01
486,94628,Late Delivery,2025-01-01
487,53420,Wrong Product,2025-01-01
488,5074,Wrong Product,2025-01-01
489,71352,No Longer Needed,2025-01-01
490,31999,Late Delivery,2025-01-01
491,19598,No Longer Needed,2025-01-01
492,81056,Wrong Product,2025-01-01
493,54548,Wrong Product,2025-01-01
494,7778,Damaged,2025-01-01
495,47580,Damaged,2025-01-01
496,93600,No Longer Needed,2025-01-01
497,28013,Defective,2025-01-01
498,31734,Damaged,2025-01-01
499,9846,Wrong Product,2025-01-01
500,82133,Wrong Product,2025-01-01
501,85203,No Longer Needed,2025-01-01
502,834,Damaged,2025-01-01
503,90497,Defective,2025-01-01
504,24555,No Longer Needed,2025-01-01
505,74743,Wrong Product,2025-01-01
506,73991,Defective,2025-01-01
507,89757,Damaged,2025-01-01
508,3897,No Longer Needed,2025-01-01
509,68111,Defective,2025-01-01
510,42562,No Longer Needed,2025-01-01
511,57856,Late Delivery,2025-01-01
512,92633,Late Delivery,2025-01-01
513,90197,Damaged,2025-01-01
514,8746,Damaged,2025-01-01
515,83879,No Longer Needed,2025-01-01
516,51736,Wrong Product,2025-01-01
517,23652,No Longer Needed,2025-01-01
518,52265,Wrong Product,2025-01-01
519,23146,Wrong Product,2025-01-01
520,13712,No Longer Needed,2025-01-01
521,19459,Late Delivery,2025-01-01
522,13023,No Longer Needed,2025-01-01
523,49683,No Longer Needed,2025-01-01
524,92597,No Longer Needed,2025-01-01
525,65612,Damaged,2025-01-01
526,4685,Defective,2025-01-01
527,25768,No Longer Needed,2025-01-01
528,58748,Damaged,2025-01-01
529,2260,Wrong Product,2025-01-01
530,93428,Defective,2025-01-01
531,49772,Defective,2025-01-01
532,14088,Late Delivery,2025-01-01
533,87189,No Longer Needed,2025-01-01
534,45838,Damaged,2025-01-01
535,68255,Late Delivery,2025-01-01
536,53958,No Longer Needed,2025-01-01
537,96394,Damaged,2025-01-01
538,47493,Damaged,2025-01-01
539,42747,Late Delivery,2025-01-01
540,42434,Defective,2025-01-01
541,57676,Defective,2025-01-01
542,99074,No Longer Needed,2025-01-01
543,66285,Defective,2025-01-01
544,87994,No Longer Needed,2025-01-01
545,28989,No Longer Needed,2025-01-01
546,36863,Wrong Product,2025-01-01
547,9139,Wrong Product,2025-01-01
548,98306,Wrong Product,2025-01-01
549,66560,No Longer Needed,2025-01-01
550,38055,Wrong Product,2025-01-01
551,4420,Late Delivery,2025-01-01
552,6749,Late Delivery,2025-01-01
553,91597,Late Delivery,2025-01-01
554,822,Wrong Product,2025-01-01
555,75927,Wrong Product,2025-01-01
556,39152,Late Delivery,2025-01-01
557,69033,Late Delivery,2025-01-01
558,79429,Wrong Product,2025-01-01
559,576,Wrong Product,2025-01-01
560,30953,Defective,2025-01-01
561,72971,Late Delivery,2025-01-01
562,39784,No Longer Needed,2025-01-01
563,39763,Defective,2025-01-01
564,60365,Defective,2025-01-01
565,32340,Late Delivery,2025-01-01
566,62347,Damaged,2025-01-01
567,94289,No Longer Needed,2025-01-01
568,22963,Late Delivery,2025-01-01
569,85163,Damaged,2025-01-01
570,98003,Damaged,2025-01-01
571,52392,Damaged,2025-01-01
572,78071,No Longer Needed,2025-01-01
573,279,Defective,2025-01-01
574,54760,Late Delivery,2025-01-01
575,93627,Damaged,2025-01-01
576,14138,Defective,2025-01-01
577,8960,Late Delivery,2025-01-01
578,15544,No Longer Needed,2025-01-01
579,35138,No Longer Needed,2025-01-01
580,94623,Damaged,2025-01-01
581,52664,Defective,2025-01-01
582,88235,Wrong Product,2025-01-01
583,26517,No Longer Needed,2025-01-01
584,28101,Damaged,2025-01-01
585,95140,Late Delivery,2025-01-01
586,94984,No Longer Needed,2025-01-01
587,69610,Wrong Product,2025-01-01
588,17096,Wrong Product,2025-01-01
589,10956,Damaged,2025-01-01
590,8410,No Longer Needed,2025-01-01
591,47138,No Longer Needed,2025-01-01
592,1403,Damaged,2025-01-01
593,12525,No Longer Needed,2025-01-01
594,53389,Late Delivery,2025-01-01
595,81340,Late Delivery,2025-01-01
596,47124,Late Delivery,2025-01-01
597,34790,No Longer Needed,2025-01-01
598,18146,Late Delivery,2025-01-01
599,44076,Defective,2025-01-01
600,58502,Wrong Product,2025-01-01
601,8639,Wrong Product,2025-01-01
602,16702,No Longer Needed,2025-01-01
603,656,No Longer Needed,2025-01-01
604,47167,No Longer Needed,2025-01-01
605,18631,Wrong Product,2025-01-01
606,31505,Late Delivery,2025-01-01
607,68653,Late Delivery,2025-01-01
608,13099,No Longer Needed,2025-01-01
609,74563,Damaged,2025-01-01
610,69506,Defective,2025-01-01
611,13109,Late Delivery,2025-01-01
612,1350,Late Delivery,2025-01-01
613,78670,Late Delivery,2025-01-01
614,25988,Defective,2025-01-01
615,43628,Defective,2025-01-01
616,8170,Wrong Product,2025-01-01
617,9527,Wrong Product,2025-01-01
618,10514,No Longer Needed,2025-01-01
619,95240,No Longer Needed,2025-01-01
620,89595,Damaged,2025-01-01
621,15063,Defective,2025-01-01
622,31443,Damaged,2025-01-01
623,89108,No Longer Needed,2025-01-01
624,46252,Defective,2025-01-01
625,36062,Defective,2025-01-01
626,691,Late Delivery,2025-01-01
627,50456,Defective,2025-01-01
628,4832,Late Delivery,2025-01-01
629,28818,Damaged,2025-01-01
630,10206,Wrong Product,2025-01-01
631,73651,Damaged,2025-01-01
632,30591,Damaged,2025-01-01
633,6725,Defective,2025-01-01
634,78638,Late Delivery,2025-01-01
635,67243,Damaged,2025-01-01
636,63693,Late Delivery,2025-01-01
637,25000,No Longer Needed,2025-01-01
638,39615,Damaged,2025-01-01
639,89285,No Longer Needed,2025-01-01
640,1575,Defective,2025-01-01
641,76461,Wrong Product,2025-01-01
642,16201,No Longer Needed,2025-01-01
643,97290,Wrong Product,2025-01-01
644,41508,Late Delivery,2025-01-01
645,78988,Late Delivery,2025-01-01
646,50824,Wrong Product,2025-01-01
647,54091,Defective,2025-01-01
648,80639,Wrong Product,2025-01-01
649,80347,Damaged,2025-01-01
650,34446,Wrong Product,2025-01-01
651,77213,Defective,2025-01-01
652,38826,Damaged,2025-01-01
653,24958,Wrong Product,2025-01-01
654,7896,Damaged,2025-01-01
655,80614,Defective,2025-01-01
656,73281,Damaged,2025-01-01
657,91481,Wrong Product,2025-01-01
658,54383,Wrong Product,2025-01-01
659,49673,Late Delivery,2025-01-01
660,97748,Wrong Product,2025-01-01
661,51095,Wrong Product,2025-01-01
662,6235,Wrong Product,2025-01-01
663,87587,Late Delivery,2025-01-01
664,79863,Wrong Product,2025-01-01
665,4081,No Longer Needed,2025-01-01
666,8232,Late Delivery,2025-01-01
667,27966,Defective,2025-01-01
668,61742,No Longer Needed,2025-01-01
669,11387,Damaged,2025-01-01
670,68394,Defective,2025-01-01
671,60107,No Longer Needed,2025-01-01
672,26747,Defective,2025-01-01
673,67398,Damaged,2025-01-01
674,26312,Late Delivery,2025-01-01
675,45159,Wrong Product,2025-01-01
676,13941,Damaged,2025-01-01
677,16317,Defective,2025-01-01
678,52039,No Longer Needed,2025-01-01
679,45275,No Longer Needed,2025-01-01
680,69009,Defective,2025-01-01
681,23259,Wrong Product,2025-01-01
682,42902,No Longer Needed,2025-01-01
683,67465,Damaged,2025-01-01
684,89363,Damaged,2025-01-01
685,23182,Late Delivery,2025-01-01
686,71006,No Longer Needed,2025-01-01
687,44699,Defective,2025-01-01
688,44479,Damaged,2025-01-01
689,42603,Damaged,2025-01-01
690,94194,Wrong Product,2025-01-01
691,6668,No Longer Needed,2025-01-01
692,32347,Defective,2025-01-01
693,10566,Wrong Product,2025-01-01
694,12926,Defective,2025-01-01
695,70300,Late Delivery,2025-01-01
696,574,Defective,2025-01-01
697,44317,Late Delivery,2025-01-01
698,52440,No Longer Needed,2025-01-01
699,95033,Damaged,2025-01-01
700,91515,Damaged,2025-01-01
701,21437,Defective,2025-01-01
702,64301,Damaged,2025-01-01
703,99763,Defective,2025-01-01
704,43246,Defective,2025-01-01
705,63379,Defective,2025-01-01
706,29727,No Longer Needed,2025-01-01
707,29947,Damaged,2025-01-01
708,63936,Late Delivery,2025-01-01
709,91797,No Longer Needed,2025-01-01
710,93972,Damaged,2025-01-01
711,81734,Defective,2025-01-01
712,9275,No Longer Needed,2025-01-01
713,30503,Damaged,2025-01-01
714,99372,No Longer Needed,2025-01-01
715,69156,No Longer Needed,2025-01-01
716,66143,No Longer Needed,2025-01-01
717,86051,Wrong Product,2025-01-01
718,36174,Late Delivery,2025-01-01
719,79375,No Longer Needed,2025-01-01
720,20597,Damaged,2025-01-01
721,14832,Late Delivery,2025-01-01
722,46467,No Longer Needed,2025-01-01
723,2688,Wrong Product,2025-01-01
724,83842,Damaged,2025-01-01
725,69491,Wrong Product,2025-01-01
726,55757,Wrong Product,2025-01-01
727,27508,Damaged,2025-01-01
728,58682,Late Delivery,2025-01-01
729,41021,Defective,2025-01-01
730,40375,No Longer Needed,2025-01-01
731,33334,Defective,2025-01-01
732,61602,Damaged,2025-01-01
733,4245,Late Delivery,2025-01-01
734,87945,Defective,2025-01-01
735,93247,Defective,2025-01-01
736,95208,Wrong Product,2025-01-01
737,8326,Late Delivery,2025-01-01
738,86357,Defective,2025-01-01
739,91400,Late Delivery,2025-01-01
740,27009,Defective,2025-01-01
741,91024,Late Delivery,2025-01-01
742,45841,Damaged,2025-01-01
743,1319,Defective,2025-01-01
744,49277,Late Delivery,2025-01-01
745,95640,Defective,2025-01-01
746,89413,Wrong Product,2025-01-01
747,80504,Defective,2025-01-01
748,32614,Wrong Product,2025-01-01
749,75160,Late Delivery,2025-01-01
750,85044,Wrong Product,2025-01-01
751,54951,No Longer Needed,2025-01-01
752,72160,Wrong Product,2025-01-01
753,4942,Damaged,2025-01-01
754,82773,No Longer Needed,2025-01-01
755,34958,Late Delivery,2025-01-01
756,97767,Damaged,2025-01-01
757,28812,Wrong Product,2025-01-01
758,37871,Wrong Product,2025-01-01
759,22804,No Longer Needed,2025-01-01
760,40799,Damaged,2025-01-01
761,7727,Late Delivery,2025-01-01
762,95848,Late Delivery,2025-01-01
763,99633,No Longer Needed,2025-01-01
764,20410,Damaged,2025-01-01
765,115,Wrong Product,2025-01-01
766,22740,Late Delivery,2025-01-01
767,31960,Late Delivery,2025-01-01
